"test_key","test","q","n","theta","risk_p","risk_p05","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_p05_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,30,0.001,0.499999881512797,0.499999242089347,0.499998337830208,NA,NA,1.54368258942217e-06,9.04259139344887e-07,NA,NA
"anova","One-way ANOVA",3,30,0.00125915510457657,0.499999812091605,0.499998798315152,0.49999736465688,NA,NA,2.44743472538334e-06,1.43365827209863e-06,NA,NA
"anova","One-way ANOVA",3,30,0.00158547157738124,0.499999701950136,0.49999809466467,0.499995821687716,NA,NA,3.88026242043038e-06,2.27297695376549e-06,NA,NA
"anova","One-way ANOVA",3,30,0.00199635462982066,0.499999527975958,0.499996979522894,0.499993375277265,NA,NA,6.15269869297386e-06,3.6042456288965e-06,NA,NA
"anova","One-way ANOVA",3,30,0.00251372012268376,0.499999251603166,0.499995211078963,0.499989497236953,NA,NA,9.75436621264425e-06,5.71384200959146e-06,NA,NA
"anova","One-way ANOVA",3,30,0.0031651635239541,0.499998813397485,0.499992407200135,0.499983348167399,NA,NA,1.54652300857205e-05,9.05903273629161e-06,NA,NA
"anova","One-way ANOVA",3,30,0.00398543180800638,0.499998118573144,0.499987961575917,0.499973598991889,NA,NA,2.45195812546006e-05,1.43625840279271e-05,NA,NA
"anova","One-way ANOVA",3,30,0.00501827680499307,0.499997016793167,0.499980912777511,0.499958141949825,NA,NA,3.88748433418074e-05,2.2770827685592e-05,NA,NA
"anova","One-way ANOVA",3,30,0.00631878885518524,0.49999526955821,0.499969736132262,0.499933635244978,NA,NA,6.1634313232084e-05,3.61008872837298e-05,NA,NA
"anova","One-way ANOVA",3,30,0.00795633524174805,0.499992498365589,0.49995201342026,0.499894780549027,NA,NA,9.77178165619819e-05,5.72328712333259e-05,NA,NA
"anova","One-way ANOVA",3,30,0.0100182601333695,0.499988102159557,0.499923908360163,0.499833177495144,NA,NA,0.000154924664413469,9.07308650188732e-05,NA,NA
"anova","One-way ANOVA",3,30,0.0126145433859082,0.499981126499832,0.499879333495952,0.499735507478313,NA,NA,0.00024561902151915,0.000143826017639848,NA,NA
